01/01/2004,51.02423924,ND,34.3137748,ND,47.21711154,ND,56.911,ND,53.318,ND,63.99,ND,
01/01/2013,57.54350918,0.50659073,49.4872897,2.911734717,55.97423775,-0.013488595,58.678,-0.469,58.06,-0.292,64.12,0.152,
01/02/2013,57.49861596,-0.044893223,51.4378295,1.950539796,54.90652749,-1.067710257,58.423,-0.255,58.321,0.261,63.926,-0.194,
01/03/2013,57.31113017,-0.187485792,50.57511723,-0.86271227,55.05570903,0.149181537,59.879,1.456,57.58,-0.741,63.955,0.029,
01/04/2013,57.11103758,-0.200092591,51.09669717,0.521579946,54.69381069,-0.361898333,59.17,-0.709,57.826,0.246,64.057,0.102,
01/05/2013,57.05418411,-0.05685347,52.21958156,1.12288439,53.63580695,-1.058003744,59.342,0.172,57.912,0.086,63.592,-0.465,
01/06/2013,55.67393825,-1.380245854,50.05262724,-2.166954328,52.21278047,-1.423026483,57.99,-1.352,56.46,-1.452,63.422,-0.17,
01/07/2013,55.42611561,-0.247822642,50.46544118,0.412813946,51.39435597,-0.818424499,57.485,-0.505,56.027,-0.433,63.321,-0.101,
01/08/2013,55.47223193,0.046116322,49.66382205,-0.801619132,50.63376337,-0.760592593,57.465,-0.02,55.703,-0.324,63.119,-0.202,
01/09/2013,53.11342682,-2.358805108,47.66164845,-2.0021736,48.48883263,-2.144930742,53.235,-4.23,54.411,-1.292,60.732,-2.387,
01/10/2013,51.83144841,-1.281978412,44.24795624,-3.413692214,47.26996195,-1.218870677,52.162,-1.073,54.014,-0.397,60.391,-0.341,
01/11/2013,51.3475252,-0.483923208,43.87406271,-0.373893528,46.79354243,-0.476419527,51.595,-0.567,53.968,-0.046,59.3,-1.091,
01/12/2013,52.42630112,1.078775914,47.19106943,3.317006723,46.95005498,0.15651255,52.29,0.695,54.17,0.202,60.347,1.047,
01/01/2014,51.73638139,-0.689919729,43.8155703,-3.37549913,47.31892312,0.36886814,52.983,0.693,53.48,-0.69,60.201,-0.146,
01/02/2014,52.31339227,0.577010883,45.78178977,1.966219468,47.39785875,0.078935631,53.554,0.571,53.893,0.413,61.002,0.801,
01/03/2014,52.36402553,0.050633257,45.90214466,0.120354896,47.89874346,0.50088471,53.5,-0.054,54.554,0.661,60.744,-0.258,
01/04/2014,52.5831911,0.219165571,45.53481601,-0.367328654,47.7600935,-0.138649954,54.141,0.641,55.121,0.567,61.572,0.828,
01/05/2014,51.89989888,-0.683292221,44.78867758,-0.746138429,47.34832631,-0.411767198,53.805,-0.336,54.155,-0.966,60.597,-0.975,
01/06/2014,51.86546285,-0.034436028,45.49861845,0.709940868,47.50480305,0.156476743,53.099,-0.706,53.996,-0.159,60.559,-0.038,
01/07/2014,52.37155923,0.506096383,47.55303206,2.054413612,47.68929517,0.184492122,54.047,0.948,53.554,-0.442,60.31,-0.249,
01/08/2014,53.37277866,1.001219424,48.53010116,0.977069098,48.86037386,1.171078685,54.351,0.304,54.2,0.646,59.995,-0.315,
01/09/2014,53.27968474,-0.093093918,47.60334094,-0.926760221,49.38484804,0.524474184,54.519,0.168,53.669,-0.531,60.265,0.27,
01/10/2014,53.49332754,0.213642795,47.99826006,0.394919125,49.24524864,-0.139599397,54.036,-0.483,54.629,0.96,60.836,0.571,
01/11/2014,52.71126968,-0.782057856,46.47334809,-1.524911975,47.65587743,-1.589371218,53.383,-0.653,54.329,-0.3,60.19,-0.646,
01/12/2014,51.00144065,-1.709829031,44.13096184,-2.342386252,44.76537162,-2.890505801,51.889,-1.494,53.31,-1.019,59.953,-0.237,
01/01/2015,51.01948142,0.018040776,43.41279329,-0.718168548,45.69858288,0.933211258,52.471,0.582,53.114,-0.196,59.613,-0.34,
01/02/2015,50.1522141,-0.867267322,41.15898807,-2.253805221,45.4385111,-0.260071786,51.736,-0.735,53.075,-0.039,59.604,-0.009,
01/03/2015,49.41439458,-0.73781952,41.36434088,0.20535281,44.17506901,-1.263442083,50.431,-1.305,53.342,0.267,58.942,-0.662,
01/04/2015,49.18286273,-0.231531856,39.66561116,-1.698729715,44.38390762,0.208838606,50.453,0.022,53.689,0.347,58.829,-0.113,
01/05/2015,49.70922726,0.526364536,39.77414461,0.108533448,45.19702973,0.813122108,51.206,0.753,54.195,0.506,58.961,0.132,
01/06/2015,49.67999939,-0.02922787,40.06309226,0.288947645,45.88691447,0.689884743,51.193,-0.013,53.785,-0.41,58.358,-0.603,
01/07/2015,49.28486734,-0.395132057,38.81303468,-1.250057577,44.55801279,-1.328901678,50.83,-0.363,54.232,0.447,59.241,0.883,
01/08/2015,48.59469834,-0.690168998,37.63428864,-1.178746044,42.33799517,-2.220017621,49.08,-1.75,54.293,0.061,58.63,-0.611,
01/09/2015,48.50562517,-0.089073169,37.04120923,-0.593079404,42.94110561,0.603110444,48.686,-0.394,54.187,-0.106,59.009,0.379,
01/10/2015,50.21964747,1.714022298,39.4039119,2.362702665,45.55425412,2.61314851,51.37,2.684,54.75,0.563,59.732,0.723,
01/11/2015,51.06320042,0.843552953,39.58573105,0.181819153,46.80915262,1.254898495,51.873,0.503,54.848,0.098,60.43,0.698,
01/12/2015,50.76799037,-0.295210052,39.1207093,-0.465021748,47.24791678,0.438764157,51.922,0.049,55.001,0.153,59.586,-0.844,
01/01/2016,49.08102906,-1.686961312,38.86242174,-0.25828756,44.53725275,-2.71066403,49.294,-2.628,53.663,-1.338,58.467,-1.119,
01/02/2016,47.93728445,-1.143744607,37.30214105,-1.560280691,42.69791745,-1.839335297,48.473,-0.821,53.439,-0.224,58.092,-0.375,
01/03/2016,47.94134576,0.004061307,37.37349735,0.071356301,43.52144482,0.823527366,49.172,0.699,53.344,-0.095,57.791,-0.301,
01/04/2016,49.55001959,1.608673835,38.43762128,1.064123929,44.7196363,1.198191481,51.121,1.949,54.42,1.076,59.765,1.974,
01/05/2016,49.8563918,0.306372212,39.3127104,0.875089117,45.6677475,0.948111199,51.415,0.294,54.162,-0.258,59.21,-0.555,
01/06/2016,49.76908272,-0.087309088,39.67154502,0.358834617,45.06780525,-0.599942241,51.057,-0.358,54.518,0.356,58.996,-0.214,
01/07/2016,49.0911598,-0.677922912,38.38969848,-1.281846531,44.29132289,-0.776482366,50.806,-0.251,54.435,-0.083,59.062,0.066,
01/08/2016,49.26164541,0.170485605,37.91444469,-0.47525379,43.89808113,-0.393241761,50.132,-0.674,54.296,-0.139,58.759,-0.303,
01/09/2016,48.92919114,-0.332454264,38.99317776,1.078733063,43.5057677,-0.392313424,49.295,-0.837,53.728,-0.568,58.851,0.092,
01/10/2016,48.3633079,-0.565883241,37.9878886,-1.005289162,43.16816921,-0.337598498,48.763,-0.532,53.57,-0.158,58.359,-0.492,
01/11/2016,47.97638907,-0.386918837,38.33041317,0.342524578,42.54828861,-0.619880591,46.465,-2.298,53.369,-0.201,57.409,-0.95,
01/12/2016,47.84336568,-0.133023383,38.29479018,-0.03562299,42.39257217,-0.155716447,46.618,0.153,53.216,-0.153,57.793,0.384,
01/01/2017,43.69467016,-4.148695523,35.87714416,-2.417646024,36.46178731,-5.930784853,41.334,-5.284,50.009,-3.207,54.31,-3.483,
01/02/2017,43.3343616,-0.360308561,33.45723017,-2.41991399,36.94276058,0.480973263,43.083,1.749,49.302,-0.707,54.206,-0.104,
01/03/2017,46.3362436,3.001882,35.79750869,2.340278518,41.2022763,4.259515726,47.312,4.229,52.447,3.145,56.673,2.467,
01/04/2017,47.46711924,1.130875638,37.04567631,1.248167618,42.4996047,1.297328397,48.015,0.703,52.453,0.006,57.716,1.043,
01/05/2017,48.43731256,0.970193318,38.48221439,1.436538085,43.77849266,1.278887962,49.012,0.997,52.942,0.489,58.054,0.338,
01/06/2017,49.28453254,0.847219988,40.12290819,1.640693798,44.69015883,0.911666169,50.077,1.065,52.993,0.051,58.553,0.499,
01/07/2017,50.02493928,0.74040673,42.80992139,2.687013204,46.18139484,1.491236009,50.735,0.658,53.3,0.307,58.861,0.308,
01/08/2017,50.25587078,0.230931502,43.37480679,0.564885394,45.56993088,-0.61146396,49.758,-0.977,52.635,-0.665,58.336,-0.525,
01/09/2017,50.05290389,-0.202966892,44.60442081,1.229614024,44.81583362,-0.75409726,49.407,-0.351,53.341,0.706,58.29,-0.046,
01/10/2017,49.63787287,-0.415031018,42.80021005,-1.804210761,45.03299703,0.217163411,49.814,0.407,52.74,-0.601,58.057,-0.233,
01/11/2017,50.06594383,0.42807096,40.61819566,-2.18201439,45.78896986,0.755972829,50.831,1.017,52.837,0.097,58.598,0.541,
01/12/2017,49.94415591,-0.121787916,41.8653352,1.247139545,45.93960501,0.150635149,49.503,-1.328,53.371,0.534,58.157,-0.441,
01/01/2018,49.95303089,0.008874983,43.29325265,1.427917447,44.94428913,-0.995315883,49.507,0.004,53.328,-0.043,58.632,0.475,
01/02/2018,50.27596067,0.322929781,44.62842309,1.335170434,44.93740024,-0.006888883,49.766,0.259,53.47,0.142,58.913,0.281,
01/03/2018,51.1315083,0.855547621,47.17708294,2.548659857,45.70789031,0.770490072,51.003,1.237,54.591,1.121,58.79,-0.123,
01/04/2018,51.29547501,0.163966719,45.75423338,-1.422849564,47.08016326,1.372272943,51.025,0.022,54.017,-0.574,58.703,-0.087,
01/05/2018,50.54311823,-0.752356786,44.10526173,-1.648971649,45.25044307,-1.829720192,50.949,-0.076,53.699,-0.318,58.582,-0.121,
01/06/2018,49.37062964,-1.172488586,40.38744689,-3.71781484,44.53036701,-0.720076053,50.41,-0.539,53.37,-0.329,57.797,-0.785,
01/07/2018,52.12540124,2.754771595,45.3607988,4.973351908,47.37015416,2.839787151,54.833,4.423,54.856,1.486,60.042,2.245,
01/08/2018,53.37492899,1.249527749,46.70030435,1.339505556,48.30373507,0.933580905,55.228,0.395,54.067,-0.789,60.692,0.65,
01/09/2018,52.06115113,-1.313777855,44.73754867,-1.962755677,48.14279499,-0.160940079,54.017,-1.211,54.322,0.255,59.554,-1.138,
01/10/2018,51.59171206,-0.469439072,44.44823317,-0.289315501,47.49963079,-0.643164202,53.303,-0.714,53.859,-0.463,59.121,-0.433,
01/11/2018,50.93531038,-0.656401683,44.07749335,-0.370739825,46.77173995,-0.727890835,51.378,-1.925,53.002,-0.857,58.176,-0.945,
01/12/2018,50.41998435,-0.515326028,41.73647097,-2.341022382,46.46351304,-0.308226913,52.38,1.002,52.619,-0.383,58.321,0.145,
01/01/2019,52.26677828,1.846793934,46.49210278,4.755631811,48.59312256,2.129609522,53.631,1.251,53.768,1.149,59.103,0.782,
01/02/2019,52.790562,0.523783713,47.63378844,1.14168566,49.25762997,0.664507404,53.559,-0.072,54.29,0.522,59.627,0.524,
01/03/2019,52.78405431,-0.006507691,47.23740193,-0.396386509,48.97045523,-0.287174734,54.572,1.013,54.417,0.127,59.886,0.259,
01/04/2019,52.4763814,-0.30767291,48.05273997,0.815338043,48.45793084,-0.512524393,53.153,-1.419,53.68,-0.737,59.103,-0.783,
01/05/2019,52.71126073,0.234879332,48.93651712,0.883777149,48.07621639,-0.381714445,52.998,-0.155,54.152,0.472,59.006,-0.097,
01/06/2019,51.12736049,-1.583900239,44.75705513,-4.179461996,47.33494541,-0.741270982,52.088,-0.91,53.007,-1.145,57.832,-1.174,
01/07/2019,49.79814011,-1.329220377,43.03655749,-1.720497633,46.24910026,-1.085845149,50.586,-1.502,53.016,0.009,57.714,-0.118,
01/08/2019,50.48555788,0.687417765,42.60380972,-0.432747771,46.77703192,0.527931659,51.181,0.595,52.349,-0.667,57.52,-0.194,
01/09/2019,50.30065323,-0.184904647,42.19758658,-0.40622314,46.23781394,-0.539217983,51.987,0.806,53.341,0.992,58.324,0.804,
01/10/2019,49.68435922,-0.616294008,40.85072073,-1.346865852,45.91289098,-0.324922954,51.522,-0.465,52.661,-0.68,57.806,-0.518,
01/11/2019,49.25285582,-0.431503403,40.06275549,-0.787965238,45.31133998,-0.601551002,50.555,-0.967,52.36,-0.301,57.176,-0.63,
01/12/2019,48.56379288,-0.689062937,39.47459035,-0.588165141,45.25840199,-0.052937995,50.238,-0.317,51.079,-1.281,56.43,-0.746,
01/01/2020,47.71018523,-0.853607651,38.81520082,-0.659389532,44.23892693,-1.019475058,49.91,-0.328,50.747,-0.332,55.456,-0.974,
01/02/2020,47.15525282,-0.554932412,37.56712178,-1.248079037,43.93324408,-0.305682848,49.185,-0.725,49.909,-0.838,55.736,0.28,
01/03/2020,44.14321439,-3.012038431,31.87558857,-5.691533209,39.88271387,-4.050530212,46.562,-2.623,49.274,-0.635,53.61,-2.126,
01/04/2020,36.82493322,-7.318281171,18.72780053,-13.14778805,30.94156096,-8.941152913,42.662,-3.9,40.798,-8.476,51,-2.61,
01/05/2020,34.99259656,-1.832336655,16.8866671,-1.841133423,27.61772985,-3.323831109,42.33,-0.332,37.009,-3.789,50.728,-0.272,
01/06/2020,37.79138658,2.79879002,19.09191728,2.205250173,28.8971214,1.279391557,47.124,4.794,37.627,0.618,55.505,4.777,
01/07/2020,39.11437808,1.322991496,21.886993,2.795075727,30.4872271,1.590105701,48.683,1.559,39.825,2.198,55.929,0.424,
01/08/2020,39.48240155,0.368023473,22.62814732,0.741154314,30.12520581,-0.362021291,48.101,-0.582,38.923,-0.902,55.621,-0.308,
01/09/2020,41.00979071,1.527389158,24.67526872,2.047121402,32.55569506,2.430489246,50.131,2.03,41.428,2.505,56.735,1.114,
01/10/2020,41.83315631,0.823365597,25.47252298,0.797254259,33.09302738,0.53733232,50.389,0.258,43.006,1.578,57.562,0.827,
01/11/2020,42.34905153,0.515895224,26.84052666,1.36800368,33.73392438,0.640897,50.146,-0.243,43.116,0.11,57.664,0.102,
01/12/2020,43.1032584,0.754206873,27.11242728,0.271900621,34.38683872,0.652914336,51.455,1.309,44.408,1.292,58.161,0.497,
01/01/2021,43.74652867,0.643270269,26.6368561,-0.475571176,36.01484968,1.628010969,52.837,1.382,45.28,0.872,58.672,0.511,
01/02/2021,44.51187921,0.765350536,27.55703185,0.920175749,37.1308955,1.116045815,53.835,0.998,45.72,0.44,59.028,0.356,
01/03/2021,45.72734825,1.215469046,29.09328121,1.536249361,39.86403241,2.733136913,53.637,-0.198,47.192,1.472,58.749,-0.279,
01/04/2021,48.44030921,2.712960956,32.42217219,3.32889098,44.05116067,4.187128256,54.008,0.371,51.762,4.57,59.962,1.213,
01/05/2021,50.05656242,1.616253212,35.22912094,2.806948751,46.76598821,2.714827541,54.807,0.799,52.927,1.165,60.149,0.187,
01/06/2021,51.74243613,1.68587371,37.6617191,2.432598155,49.86604513,3.100056922,55.842,1.035,54.141,1.214,60.497,0.348,
01/07/2021,51.79693994,0.054503806,38.95621172,1.294492617,49.96399767,0.097952538,55.835,-0.007,54.085,-0.056,60.95,0.453,
01/08/2021,51.53078455,-0.26615539,37.39004937,-1.566162345,49.46763168,-0.49636599,55.256,-0.579,53.627,-0.458,60.058,-0.892,
01/09/2021,51.45473472,-0.076049825,37.08050257,-0.309546802,50.58570787,1.118076189,55.794,0.538,54.036,0.409,60.134,0.076,
01/10/2021,51.97404121,0.519306489,39.41287506,2.332372487,50.45392991,-0.131777957,55.994,0.2,54.185,0.149,60.233,0.099,
01/11/2021,52.67135817,0.697316961,39.40019692,-0.012678132,51.39348536,0.939555444,57.126,1.132,54.661,0.476,60.848,0.615,
01/12/2021,52.50742564,-0.163932538,39.83450284,0.434305917,50.81708903,-0.576396323,56.489,-0.637,55.095,0.434,60.537,-0.311,
